Item Code,Item Name,Retail Price,Cost,Category
4801688103511,REGENT CHEESE RING 60G,18,17,SNACKS
4800011155630,MAMAS LOVE ABSORBENT COTTON,21,19,Others
4808888004921,IRISH SPRING ICY BLAST,60,55,Others
4800060906184,PURITY COTTON BUDS MINI,48,45,Others
4806506150395,EXTRA PREMIUM,16,15,Others
4806512230425,PANCAKE CREAMY & FLUFFY,65,60,SNACKS
4804880552354,MARCA LEON CANOLA,170,165,Others
4800016551840,NISSIN CUP NOODLES 160G,35,30,Others
8886467100031,PRINGLES CHEESSY 107 GRAM,75,70,SNACKS
4800194105958,OISHI EXTRA HOT 60G,16,14,SNACKS
4800029830659,MELLO MARSHMALLOWS,5,4,Others
4800086049094,BOOM BOOMPINIPIG UBE,16,15,SNACKS
4800575144606,ALASKA 700G,237,230,Milk Powder
4800067055946,BABYFLO GENTLE BUDS,33,30,Others
918597315,CETIRIZINE,5,5,Others
8885013131529,MOCHI KLEPON,15,14,SNACKS
208584467,CHAMPION SINGLE 1/2 DZ,47,40,Others
4800344001826,SILVER SWAN TOYO 500ML,31,30,Others
6949602306445,BESUPER L18,137,135,Others
4802288814241,HAPPY BABY PANTS XL24,215,210,Others
4802288812049,HAPPY BABY PANTS M4,35,30,Others
4806528290086,SUPERBABYDIAPER S4,29,25,Others
4807770100468,EGGNOG COOOKIS 32G,12,11,SNACKS
4806502256251,GRADE 2,12,11,Others
4800602020484,REAL LEAF FRUTCY,30,29,Others
4807770120237,NISSIN YUMMY BUTTER,53,50,Others
4800249908749,CDO BEEF LOAF 100G,18,17,Beef Loaf
4809011850231,BRO-AS SPECIAL,33,31,SNACKS
4809011850422,ROSQUILLOS 90G,30,26,SNACKS
4800045320158,STAR WAX COLORLESS,22,19,Others
4800119215168,VITRESS SUN PROTECT,82,80,Others
4800119215199,VITRESS LONG-LASTING FRAGRANCE,82,80,Others
4800119215182,VITRESS LONG-LASTING 50ML,55,50,Others
235686761,FISH CRACKER 1 BUNDLE,190,185,Others
4806534228998,MICKEY LOLLIPOP,135,130,Others
420100647,SMIRNOFF MULE 1 CASE,1100,1020,Others
4806502350133,SANICARE ROLLS 90 S,45,42,Others
4800086043641,PISTACHIO CASHEW 450ML,115,110,Others
9556006004234,JOHNSONS SHAMPOO ORANGE 200ML,152,150,Others
4800092118913,FROOTEES ASST.,59,53,SNACKS
4800365671473,CHIPCHARON 415G,90,85,SNACKS
4806521322500,WHEEL GUN SPRAY,135,130,Others
4800365100485,CHEESE RING SMALL,7,6,SNACKS
4800314010124,SCOTCH-BRITE STAINLESS STEEL TRIAL,26,24,Others
4806524651201,PLAYFUL ANTI-BACTRIAL 90SHEET,98,96,Others
4809011817739,ATSUETE 50G,8.5,6,Others
4800314009708,SCOTCH-BRITE 1 PACK,15,14,Others
4800011122205,CASINO FEMME 60ML,25,21,Others
4800011121512,CASINO 150ML,35,30,Others
827097783,KOPIKO BLACK TWIN 1 CASE,1700,1344,Others
175843524,KOPIKO BLANCA SINGLE 1 CASE,1650,1608,Others
4809010486394,MELON PINIPIG 150 PCS,135,130,Others
625235647,CHICHARON WITH SUGAR,110,100,SNACKS
4800040331630,MARIE FIBISCO,53,52,Others
664238695,CLOTH-LIKE DIAPERS,137,130,Others
4800040314411,CHOCOLATE CHIP COOKIES 36G,15,10,Others
6910019015206,FASCLEAN 2 KILO,175,170,Others
131788462,CELLOPHANE 6X12,45,43,Others
4800040112048,ECO CAFE PURO 50G,40,35,Others
4800575425026,KREM-TOP 170G,50,45,Others
944361024,FASCLEAN 1 DOZ,62,62,Others
8888826023432,GILLETTE YELLO,25,23,Others
4800040115032,CAFE PURO 1 BAG,90,85,Others
186436617,PREMIUM STICK,2.5,2,Others
930392006,PAMINTA POWDER,5,4,Others
14285003045,UFC TAMIS ANGHANG 1/2 GAL,71,64,Others
320172375,PREMIUM STICK 1 DZ,22,20,Others
6910019017095,FASCLEAN 45G,6,5,Others
8998389121596,KUKIS BUTTER 1 PACK,35,33,SNACKS
4803925033100,PEPSI CAN,38,33,Others
4800888152725,PONDS 7G,15,12,Others
4802306685365,DILBEYS 1857 350ML,200,181,Others
769830619,WILKINS DISTILLED 70L,90,80,Others
4800086044372,CREAMDAE CHOCO BASO,60,55,Others
8856303321333,CHOCOLATE BEANS 1 BOX,135,130,SNACKS
724942059,MUFFIN,10,9,Others
4800174031000,PRAWN CRACKERS ORIGINAL 100G,28,25,Others
4800274020027,QUAKER QUICK COOK 200G,43,40,Others
654930585,KREMIL-S PINK,8,7,Others
4800528456374,HOBE SPECIAL PALABOK,48,43,Others
